Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"d:\WINDOWS\system32\dmconfig.dll","Unsigned","08:35 18/08/2001","n/a","Microsoft Corp., Veritas Software","Logical Disk Manager Configuration Library","Logical Disk Manager for Windows NT","1.0","2600.0.503.0","32-bit","D0D7D34120DAB5F78BF6017EDA99A815","0243044CDEA3BC4E73566F4593506DBB6F0DBFD3","86549D9B702C73FDE1890479FB36D07E7CAA3BAB","29660EEC2EA795B52ACCE16C5841A4D6A324656E7EBD59A4E08268CA971714F4","F794B1BF6654E54D9A8C97672A07C242A477BACDA2CFFB7D159FDB5A69641599","33885307F63BD4BBD148AD43EDB0A526"
"d:\WINDOWS\system32\dmdlgs.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corp.","Disk Management Snap-in Dialogs","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","16E504E09A1C69F8EE8BB7EE237F0070","1D7B7F0B555CC58BAB8E31D39F2D8DBD35FD7047","633C3076116F314E388AAF88F06BC011FF6B4CC8","2E2699E6C047B4B30EBB80C6381FF7A95B8C3AD89A0B895E2047B6E4524C022C","5B61700A467D742089E751934D2E6199C48272575B32A6011DD0F5BACA4F8357","50B9C815D70B204F6F12EDEC832B03F1"
"d:\WINDOWS\system32\dmdskmgr.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corp.","Disk Management Snap-in Support Library","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","8EFEA4A7CCCCE7D3FDE4D90F324218A9","BE08924CD7D2B71D511A7468C1027AEDEFAB91F0","21857AC951866847CB5BC56F8BBD8453D3E8D5E3","30C5AED6C434477D070543BB55DF04358C5E9D8A54B5A9BBDCD3C16F53599349","03C9775DBDFB54BA36EBD16B7903FBCFA3C971CE088B2689F01BC1DB34D74D9C","3D453B13B23C5A2F100913E29124C010"
"d:\WINDOWS\system32\dmdskres.dll","Unsigned","08:33 18/08/2001","n/a","Microsoft Corp.","Disk Management Snap-in Resources","Logical Disk Manager for Windows NT","1.0","2600.0.503.0","32-bit","057F636C4E4F11FAB91371C2C83F678B","A084591B1BFF2905EF48E58835071AAE5FC1D66C","8BA2C4024C8AF97433A96A716B442AB1845B0D46","7A3188CDB392E59105A946DF44A148048225AF25CB6198F421F6655B56378FB4","C33B7906E6ABC3633E2D5CD47CA0E76B7E7D53B24451D286F61AE1DAC93A196E","n/a"
"d:\WINDOWS\system32\dmime.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Interactive Engine","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","1EFB987153B0C28C71B3882AD4E392C0","7887EC317D29F9A2E3D8B46ADEDCE701620BF9B9","BFA4321708388762A870D7EC7609DE15CE252A5E","9D9AB08ACA4EA8301D9FE00E3E1EEDF376974843B1E3830AE86E679F57A01558","112CA5EFC67347ABC5559ADBE7D8E057FD9BC99B50CEA275F59BE87C6BEE4965","2708B9A71C4E90F920AF900930D6BD88"
"d:\WINDOWS\system32\dmintf.dll","Unsigned","08:35 18/08/2001","n/a","Microsoft Corp.","Disk Management DCOM Interface Stub","Logical Disk Manager for Windows NT","1.0","2600.0.503.0","32-bit","C17B0415DA7BCD5429C945E55354144A","B3E17C1495D4DDDF1EA623BE3774C1768E4178C0","C4733723E86A77BC4F498B0C631F99F9E202AF8E","454185F7DFA8CD82F03253E279785F133ACE9F9488762EDA5077E3EF2880A35B","F4F840D3D21A3FBC6309D25F76492A3FC60D727DA74CF5293AA762A0E406F8A8","9D998883596A5A525F0F02AD23D32B0B"
"d:\WINDOWS\system32\dmloader.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Loader","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","67370BDD46D642B3196C46E3B72CDAD4","73258F9CD786DEE3844EA7E9187109D01F980AF8","559AEEDCEF9EA0D185341102D29CB92BD65628CC","3391DF2B37843A7A5ADCDD9F11EC7208DDFFCBDFF42E61940DDBD2D33408E79A","02C164D7CD65A8A060FE7AD7A16C1BD6302666BA12E42BA2DAE080B9821D5E5A","99E51B5319211D6A3EEB96728DD8AFB6"
"d:\WINDOWS\system32\dmocx.dll","Unsigned","08:35 18/08/2001","n/a","Microsoft Corporation","TreeView OCX","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (xpclient.010817-1148)","32-bit","75A782FFF9821426382453253999853B","205EF6EAD7B770FBEFC47116BD5C3BE94610DFBB","89E2CEFBA533D1AF30B83D0C1084DED0036465BE","77EA151D5CE1EB6DAA5A847674F94B8E4313382C13EADE8B75E2331EAD340DDB","D53191CCAFAE09EE6D9CF08A9651D3D942370B219D7BC7AC293A4DC0A2D1F520","BBCA0A38B3BB2F0A3B229147884B2C06"
"d:\WINDOWS\system32\dmremote.exe","Unsigned","21:44 13/04/2008","n/a","Microsoft Corp.","Logical Disk Manager component","Logical Disk Manager for Windows NT","1.0","2600.5512.503.0","32-bit","D5738F58E19F04E12ECD3A25C8BC6231","E39F4ADEDCA6D005DBEE498B30CE11625877EDDD","0BAA682C8B79F54263580393711240A9285E8A11","741DADF80A2DEC658D6A448CA07C0ADA11085DCE0B9EC6AAA282DAF117395C0F","78961D90661A22245A9BC016970BB7201DF3B67A67D45D3C98B9C0D51422DE86","425C043813B0EA9C6D4093878C9E9164"
"d:\WINDOWS\system32\dmscript.dll","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft DirectMusic Scripting","Microsoft(R) Windows(R) Operating System","5.3.2600.5512","5.3.2600.5512 (xpsp.080413-0845)","32-bit","7CE6E106FF34186F3D2621FBBD40DFDF","C6BC65C8C2A6ED2940B929CD080ABCC57B58D798","7263A045ACB74115BE34F0540424820DC9A8F8C4","429B9A8007C7342CBD4EA23DA3151267C82BDEB716C4E15A28D414EC21331512","7558A56DBBE439A3F6721BFB9D946C58375165F958EDC74F0BE72059002C8AE2","851C7927C1F3F89C8952B8BF8FC0FF6A"
